state_name,mean_annual_temperature
Hawaii,72.95
Florida,71.80
Louisiana,66.74
Arizona,65.97
Texas,65.97
Mississippi,63.50
Alabama,62.68
Georgia,62.30
South Carolina,61.70
California,61.17
Oklahoma,60.14
Arkansas,60.09
North Carolina,58.70
Tennessee,58.11
Nevada,57.30
Kentucky,55.62
Virginia,55.54
District of Columbia,54.73
Missouri,54.70
Kansas,54.68
Maryland,54.61
Delaware,54.48
West Virginia,53.08
New Mexico,53.07
New Jersey,51.93
Indiana,51.81
Illinois,51.37
Oregon,51.27
Ohio,50.88
Washington,50.47
Nebraska,49.88
Pennsylvania,49.80
Utah,49.55
Rhode Island,49.27
Connecticut,48.60
New York,48.17
Massachusetts,48.14
Iowa,48.14
Michigan,46.64
Idaho,46.32
Colorado,46.26
South Dakota,45.54
Wisconsin,44.71
New Hampshire,44.49
Montana,44.18
Vermont,43.74
Wyoming,43.47
Maine,43.09
Minnesota,42.98
North Dakota,40.80
Alaska,32.03
